name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Popeye,PG,Adventure,1980,1980-12-12,5.3,30000,"Robert Altman","Jules Feiffer","Robin Williams","United States",20000000,49823037,"Paramount Pictures",114
"Ordinary People",R,Drama,1980,1980-09-19,7.7,49000,"Robert Redford","Judith Guest","Donald Sutherland","United States",6000000,54766923,"Paramount Pictures",124
"Dressed to Kill",R,Crime,1980,1980-07-25,7.1,37000,"Brian De Palma","Brian De Palma","Michael Caine","United States",6500000,31899000,"Filmways Pictures",104
"Somewhere in Time",PG,Drama,1980,1980-10-03,7.2,27000,"Jeannot Szwarc","Richard Matheson","Christopher Reeve","United States",5100000,9709597,"Rastar Pictures",103
"9 to 5",PG,Comedy,1980,1980-12-19,6.9,29000,"Colin Higgins","Patricia Resnick","Jane Fonda","United States",10000000,103300686,"IPC Films",109
"The Fog",R,Horror,1980,1980-02-08,6.8,66000,"John Carpenter","John Carpenter","Adrienne Barbeau","United States",1000000,21448782,"AVCO Embassy Pictures",89
Cruising,R,Crime,1980,1980-02-15,6.5,20000,"William Friedkin","William Friedkin","Al Pacino","West Germany",11000000,19814523,"Lorimar Film Entertainment",102
"Heaven's Gate",R,Adventure,1980,1981-04-24,6.8,14000,"Michael Cimino","Michael Cimino","Kris Kristofferson","United States",44000000,3484523,"Partisan Productions",219
"The Final Countdown",PG,Action,1980,1980-08-01,6.7,22000,"Don Taylor","Thomas Hunter","Kirk Douglas","United States",12000000,16647800,"Bryna Productions",103
Xanadu,PG,Fantasy,1980,1980-08-08,5.3,12000,"Robert Greenwald","Richard Christian Danus","Olivia Newton-John","United States",20000000,22762571,"Universal Pictures",96
Brubaker,R,Crime,1980,1980-06-20,7.2,17000,"Stuart Rosenberg","W.D. Richter","Robert Redford","United States",9000000,37121708,"Twentieth Century Fox",131
"American Gigolo",R,Crime,1980,1980-02-01,6.2,22000,"Paul Schrader","Paul Schrader","Richard Gere","United States",4800000,22743674,"Paramount Pictures",117
"Cattle Annie and Little Britches",PG,Drama,1980,1981-04-24,6.1,604,"Lamont Johnson","David Eyre","Scott Glenn","United States",5100000,534816,"Cattle Annie Productions",97
"Private Benjamin",R,Comedy,1980,1980-10-10,6.2,24000,"Howard Zieff","Nancy Meyers","Goldie Hawn","United States",10000000,69847348,"Warner Bros.",109
"The Hollywood Knights",R,Comedy,1980,1980-05-30,6.3,4300,"Floyd Mutrux","Floyd Mutrux","Tony Danza","United States",4000000,10000000,"PolyGram Filmed Entertainment",91
"Motel Hell",R,Comedy,1980,1980-10-24,6,11000,"Kevin Connor","Robert Jaffe","Rory Calhoun","United States",3000000,6342668,"Camp Hill",101
"The Stunt Man",R,Action,1980,1980-06-27,7.1,9000,"Richard Rush","Lawrence B. Marcus","Peter O'Toole","United States",3500000,7063886,"Melvin Simon Productions",131
"The Island",R,Action,1980,1980-06-13,5.3,3900,"Michael Ritchie","Peter Benchley","Michael Caine","United States",22000000,15716828,"Universal Pictures",109
"The Nude Bomb",PG,Action,1980,1980-05-09,5.1,3100,"Clive Donner","Mel Brooks","Don Adams","United States",15000000,14662035,"Universal Pictures",94
"Stardust Memories",PG,Comedy,1980,1980-09-26,7.3,22000,"Woody Allen","Woody Allen","Woody Allen","United States",10000000,10389003,"Jack Rollins & Charles H. Joffe Productions",89
"Melvin and Howard",R,Comedy,1980,1980-09-19,6.8,4500,"Jonathan Demme","Bo Goldman","Paul Le Mat","United States",7000000,4309490,"Universal Pictures",95
"Bronco Billy",PG,Action,1980,1980-06-11,6.1,11000,"Clint Eastwood","Dennis Hackin","Clint Eastwood","United States",6500000,24265659,"Warner Bros.",116
"When Time Ran Out...",PG,Action,1980,1980-03-28,4.6,2600,"James Goldstone","Gordon Thomas","Paul Newman","United States",20000000,3763988,"International Cinema",121
"Oh Heavenly Dog",PG,Comedy,1980,1980-07-11,5.4,2400,"Joe Camp","Rod Browning","Chevy Chase","United States",6000000,6216067,"Mulberry Square Productions",103
"The Octagon",R,Action,1980,1980-08-15,5.1,5200,"Eric Karson","Leigh Chapman","Chuck Norris","United States",4000000,18971000,"American Cinema Productions",103
"The Last Flight of Noah's Ark",G,Adventure,1980,1980-06-25,5.8,1300,"Charles Jarrott","Ernest K. Gann","Elliott Gould","United States",6000000,11000000,"Walt Disney Productions",97
"Willie & Phil",R,Comedy,1980,1980-08-15,5.9,415,"Paul Mazursky","Jean Gruault","Michael Ontkean","United States",5500000,4400000,"Twentieth Century Fox",115
Phobia,R,Drama,1980,1980-09-09,4,546,"John Huston","Gary Sherman","Paul Michael Glaser",Canada,5100000,59167,"Borough Park Productions",94
"Indiana Jones and the Raiders of the Lost Ark",PG,Action,1981,1981-06-12,8.4,905000,"Steven Spielberg","Lawrence Kasdan","Harrison Ford","United States",18000000,389925971,"Paramount Pictures",115
"An American Werewolf in London",R,Comedy,1981,1981-08-21,7.5,97000,"John Landis","John Landis","David Naughton","United Kingdom",10000000,30669378,"Polygram Pictures",97
"Escape from New York",R,Action,1981,1981-07-10,7.2,131000,"John Carpenter","John Carpenter","Kurt Russell","United States",6000000,25244626,"AVCO Embassy Pictures",99
"The Evil Dead",NC-17,Horror,1981,1983-04-15,7.5,192000,"Sam Raimi","Sam Raimi","Bruce Campbell","United States",350000,2956630,"Renaissance Pictures",85
Porky's,R,Comedy,1981,1982-03-19,6.2,40000,"Bob Clark","Bob Clark","Dan Monahan",Canada,2500000,111289673,"Astral Bellevue PathÃ©",94
"Blow Out",R,Crime,1981,1981-07-24,7.4,47000,"Brian De Palma","Brian De Palma","John Travolta","United States",18000000,12000000,"Filmways Pictures",108
"Clash of the Titans",PG,Action,1981,1981-06-12,6.9,42000,"Desmond Davis","Beverley Cross","Laurence Olivier","United Kingdom",15000000,41092328,"Charles H. Schneer Productions",118
Excalibur,R,Adventure,1981,1981-04-10,7.4,59000,"John Boorman","Thomas Malory","Nigel Terry","United Kingdom",11000000,34971136,"Cinema '84",140
"Mad Max 2",R,Action,1981,1982-05-21,7.6,170000,"George Miller","Terry Hayes","Mel Gibson",Australia,3000000,23668369,"Kennedy Miller Productions",96
Stripes,R,Comedy,1981,1981-06-26,6.9,68000,"Ivan Reitman","Len Blum","Bill Murray","United States",10000000,85297000,"Columbia Pictures",106
"The Cannonball Run",PG,Action,1981,1981-06-19,6.2,34000,"Hal Needham","Brock Yates","Burt Reynolds","United States",18000000,72179579,"Golden Harvest Company",95
Thief,R,Action,1981,1981-03-27,7.4,27000,"Michael Mann","Frank Hohimer","James Caan","United States",5500000,11492915,"Mann/Caan Productions",123
"Time Bandits",PG,Adventure,1981,1981-11-06,7,60000,"Terry Gilliam","Michael Palin","Sean Connery","United Kingdom",5000000,42368025,"HandMade Films",110
"Friday the 13th Part 2",R,Horror,1981,1981-05-01,6.1,61000,"Steve Miner","Ron Kurz","Betsy Palmer","United States",1250000,21722776,"Georgetown Productions Inc.",87
"For Your Eyes Only",PG,Action,1981,1981-06-26,6.7,94000,"John Glen","Richard Maibaum","Roger Moore","United Kingdom",28000000,54813222,"Eon Productions",127
"Halloween II",R,Horror,1981,1981-10-30,6.5,77000,"Rick Rosenthal","John Carpenter","Jamie Lee Curtis","United States",2500000,25533818,"Dino De Laurentiis Company",92
Taps,PG,Drama,1981,1981-12-25,6.8,17000,"Harold Becker","Darryl Ponicsan","George C. Scott","United States",14000000,35856053,"Major Studio Partners",126
Reds,PG,Biography,1981,1981-12-25,7.3,21000,"Warren Beatty","Warren Beatty","Warren Beatty","United States",32000000,40382659,"Barclays Mercantile Industrial Finance",195
"The Fox and the Hound",G,Animation,1981,1981-07-10,7.3,87000,Directors,"Daniel P. Mannix","Mickey Rooney","United States",12000000,63456988,"Walt Disney Animation Studios",83
"Chariots of Fire",PG,Biography,1981,1982-04-09,7.2,56000,"Hugh Hudson","Colin Welland","Ben Cross","United Kingdom",5500000,59303359,"Enigma Productions",125
"Absence of Malice",PG,Drama,1981,1981-12-18,6.9,12000,"Sydney Pollack","Kurt Luedtke","Paul Newman","United States",12000000,40716963,"Columbia Pictures",116
"Tarzan the Ape Man",Approved,Adventure,1981,1981-07-24,3.4,5300,"John Derek","Tom Rowe","Bo Derek","United States",6500000,36565280,"Metro-Goldwyn-Mayer (MGM)",115
Victory,PG,Drama,1981,1981-07-31,6.7,29000,"John Huston","Yabo Yablonsky","Michael Caine","United Kingdom",10000000,10853418,"Lorimar Film Entertainment",116
Arthur,PG,Comedy,1981,1981-07-17,6.9,27000,"Steve Gordon","Steve Gordon","Dudley Moore","United States",7000000,95461682,"Orion Pictures",97
"History of the World: Part I",R,Comedy,1981,1981-06-12,6.9,47000,"Mel Brooks","Mel Brooks","Mel Brooks","United States",11000000,31672907,Brooksfilms,92
"The Howling",R,Horror,1981,1981-04-10,6.6,32000,"Joe Dante","Gary Brandner","Dee Wallace","United States",1000000,17985893,"Embassy Pictures",91
Dragonslayer,PG,Action,1981,1981-06-26,6.7,16000,"Matthew Robbins","Hal Barwood","Peter MacNicol","United Kingdom",18000000,14110013,"Paramount Pictures",109
"Cutter's Way",R,Crime,1981,1982-02-10,6.9,5300,"Ivan Passer","Newton Thornburg","Jeff Bridges","United States",3000000,1752634,"Gurian Entertainment",109
"Quest for Fire",R,Adventure,1981,1982-02-12,7.3,21000,"Jean-Jacques Annaud","GÃ©rard Brach","Everett McGill",Canada,12500000,20962615,"International Cinema Corporation (ICC)",100
"The Final Conflict",R,Horror,1981,1981-03-20,5.6,19000,"Graham Baker","David Seltzer","Sam Neill","United Kingdom",5000000,20471382,"Twentieth Century Fox",108
"Mommie Dearest",R,Biography,1981,1981-09-25,6.7,15000,"Frank Perry","Christina Crawford","Faye Dunaway","United States",5000000,19032261,"Paramount Pictures",129
"Private Lessons",R,Comedy,1981,1981-06-10,5.2,3400,"Alan Myerson","Dan Greenburg","Sylvia Kristel","United States",2800000,26279000,"Barry & Enright Productions",87
"The Postman Always Rings Twice",R,Crime,1981,1981-03-20,6.6,22000,"Bob Rafelson","David Mamet","Jack Nicholson","West Germany",12000000,12376625,"CIP Filmproduktion GmbH",122
"Deadly Blessing",R,Horror,1981,1981-08-14,5.6,5200,"Wes Craven","Glenn M. Benest","Maren Jensen","United States",2500000,8279042,"PolyGram Filmed Entertainment",100
Eyewitness,R,Crime,1981,1981-02-13,6,4500,"Peter Yates","Steve Tesich","William Hurt","United States",8500000,6400000,"Twentieth Century Fox",103
Outland,R,Action,1981,1981-05-22,6.6,28000,"Peter Hyams","Peter Hyams","Sean Connery","United Kingdom",16000000,17374595,"The Ladd Company",109
S.O.B.,R,Comedy,1981,1981-07-01,6.4,5700,"Blake Edwards","Blake Edwards","Julie Andrews","United States",12000000,14867086,"Artista Management",122
"The Beyond",R,Horror,1981,1983-11-11,6.8,21000,"Lucio Fulci","Dardano Sacchetti","Catriona MacColl",Italy,400000,123843,"Fulvia Film",87
"One from the Heart",R,Drama,1981,1982-02-11,6.5,5700,"Francis Ford Coppola","Armyan Bernstein","Frederic Forrest","United States",26000000,636796,"Zoetrope Studios",107
"True Confessions",R,Crime,1981,1981-09-25,6.3,7500,"Ulu Grosbard","John Gregory Dunne","Robert De Niro","United States",10000000,12850276,"Chartoff-Winkler Productions",108
Nighthawks,R,Action,1981,1981-04-10,6.4,18000,"Bruce Malmuth","David Shaber","Sylvester Stallone","United States",5000000,19905359,"Universal Pictures",99
Neighbors,R,Comedy,1981,1981-12-18,5.6,7600,"John G. Avildsen","Thomas Berger","John Belushi","United States",8500000,29916207,"Columbia Pictures",94
Wolfen,R,Horror,1981,1981-07-24,6.3,9400,"Michael Wadleigh","Whitley Strieber","Albert Finney","United States",17000000,10626725,"Orion Pictures",115
"Prince of the City",R,Crime,1981,1981-08-26,7.5,7600,"Sidney Lumet","Jay Presson Allen","Treat Williams","United States",8600000,8124257,"Orion Pictures",167
"Eyes of a Stranger",R,Horror,1981,1981-03-27,6,2400,"Ken Wiederhorn","Ron Kurz","Lauren Tewes","United States",800000,1118634,"Georgetown Productions Inc.",84
"Under the Rainbow",PG,Comedy,1981,1981-07-31,5.4,2600,"Steve Rash","Fred Bauer","Chevy Chase","United States",20000000,18826490,Innovisions,98
"Carbon Copy",PG,Comedy,1981,1981-09-25,5.6,2600,"Michael Schultz","Stanley Shapiro","George Segal","United States",6000000,9566593,"DeHaven/Shapiro Productions",92
"Modern Problems",PG,Comedy,1981,1981-12-25,5.1,4900,"Ken Shapiro","Ken Shapiro","Chevy Chase","United States",8000000,26154211,"Twentieth Century Fox",93
"Pennies from Heaven",R,Drama,1981,1982-01-01,6.5,5300,"Herbert Ross","Dennis Potter","Steve Martin","United States",22000000,9171289,"Metro-Goldwyn-Mayer (MGM)",108
"The Legend of the Lone Ranger",PG,Action,1981,1981-05-22,5.1,2000,"William A. Fraker","Ivan Goff","Klinton Spilsbury","United States",18000000,12617845,"Eaves Movie Ranch",98
Sphinx,PG,Adventure,1981,1981-02-11,5.2,1300,"Franklin J. Schaffner","John Byrum","Lesley-Anne Down","United Kingdom",14000000,2022771,"Orion Pictures",118
"Zoot Suit",R,Drama,1981,1982-01-01,6.8,1100,"Luis Valdez","Luis Valdez","Daniel Valdez","United States",2700000,3256082,"Universal Pictures",103
"Buddy Buddy",R,Comedy,1981,1981-12-11,6.5,4500,"Billy Wilder","Francis Veber","Jack Lemmon","United States",10000000,7258543,"Heron Productions",96
"Bustin' Loose",R,Comedy,1981,1981-05-22,6.1,2900,"Oz Scott","Lonne Elder III","Richard Pryor","United States",11000000,31261269,"Universal Pictures",94
Heartbeeps,PG,Comedy,1981,1981-12-18,4.3,1300,"Allan Arkush","John Hill","Andy Kaufman","United States",12000000,2154696,"Universal Pictures",78
"Take This Job and Shove It",PG,Comedy,1981,1981-05-15,5,761,"Gus Trikonis","Barry Schneider","Robert Hays","United States",3500000,17569027,"Cinema Group Ventures",100
"Whose Life Is It Anyway?",R,Comedy,1981,1982-01-22,7.3,2700,"John Badham","Brian Clark","Richard Dreyfuss","United States",13000000,8206145,"Metro-Goldwyn-Mayer (MGM)",119
Inchon,PG,Drama,1981,1982-09-17,2.7,659,"Terence Young","Robin Moore","Laurence Olivier","South Korea",46000000,5200986,"One Way Productions",140
"All Night Long",R,Comedy,1981,1981-03-06,5.5,1700,"Jean-Claude Tramont","W.D. Richter","Gene Hackman","United States",14000000,4454295,"Universal Pictures",87
"The Pursuit of D.B. Cooper",PG,Adventure,1981,1981-11-13,5.6,1100,"Roger Spottiswoode","J.D. Reed","Robert Duvall","United States",12000000,3702028,"PolyGram Pictures",100
Rollover,R,Drama,1981,1981-12-11,5.4,1100,"Alan J. Pakula","Howard Kohn","Jane Fonda","United States",16000000,10851261,"IPC Films",116
"Honky Tonk Freeway",PG,Action,1981,1981-08-21,5.2,928,"John Schlesinger","Edward Clinton","David Rasche","United States",24000000,2004742,"EMI Films",107
"King of the Mountain",PG,Action,1981,1981-05-01,5.5,384,"Noel Nosseck","David Barry","Harry Hamlin","United States",2000000,1791147,"PolyGram Pictures",90
"Fast Times at Ridgemont High",R,Comedy,1982,1982-08-13,7.2,98000,"Amy Heckerling","Cameron Crowe","Sean Penn","United States",4500000,27092880,"Universal Pictures",90
"Blade Runner",R,Action,1982,1982-06-25,8.1,710000,"Ridley Scott","Hampton Fancher","Harrison Ford","United States",28000000,41676878,"The Ladd Company",117
"The Thing",R,Horror,1982,1982-06-25,8.1,382000,"John Carpenter","Bill Lancaster","Kurt Russell","United States",15000000,19632053,"Universal Pictures",109
"Conan the Barbarian",R,Action,1982,1982-05-14,6.9,141000,"John Milius","Robert E. Howard","Arnold Schwarzenegger","United States",20000000,68851475,"Universal Pictures",129
"E.T. the Extra-Terrestrial",PG,Family,1982,1982-06-11,7.8,381000,"Steven Spielberg","Melissa Mathison","Henry Thomas","United States",10500000,792910554,"Universal Pictures",115
"First Blood",R,Action,1982,1982-10-22,7.7,234000,"Ted Kotcheff","David Morrell","Sylvester Stallone","United States",15000000,125212904,"Anabasis N.V.",93
"An Officer and a Gentleman",R,Drama,1982,1982-08-13,7,52000,"Taylor Hackford","Douglas Day Stewart","Richard Gere","United States",7500000,129795554,"Lorimar Film Entertainment",124
"Grease 2",PG,Comedy,1982,1982-06-11,4.4,34000,"Patricia Birch","Ken Finkleman","Michelle Pfeiffer","United States",13200000,15171476,"Paramount Pictures",115
Annie,PG,Comedy,1982,1982-06-18,6.6,41000,"John Huston","Carol Sobieski","Aileen Quinn","United States",50000000,57063861,"Columbia Pictures",127
Poltergeist,PG,Horror,1982,1982-06-04,7.3,148000,"Tobe Hooper","Steven Spielberg","JoBeth Williams","United States",10700000,77142388,"Metro-Goldwyn-Mayer (MGM)",114
"48 Hrs.",R,Action,1982,1982-12-08,6.9,73000,"Walter Hill","Roger Spottiswoode","Nick Nolte","United States",12000000,78868508,"Paramount Pictures",96
"Star Trek II: The Wrath of Khan",PG,Action,1982,1982-06-04,7.7,115000,"Nicholas Meyer","Gene Roddenberry","William Shatner","United States",11200000,78912963,"Paramount Pictures",113
"Sophie's Choice",R,Drama,1982,1983-03-04,7.6,44000,"Alan J. Pakula","William Styron","Meryl Streep","United Kingdom",12000000,30036000,"Incorporated Television Company (ITC)",150
Gandhi,PG,Biography,1982,1983-02-25,8,220000,"Richard Attenborough","John Briley","Ben Kingsley","United Kingdom",22000000,52767889,"International Film Investors",191
Tootsie,PG,Comedy,1982,1982-12-17,7.4,100000,"Sydney Pollack","Don McGuire","Dustin Hoffman","United States",21000000,177200000,"Columbia Pictures",116
Tron,PG,Action,1982,1982-07-09,6.8,115000,"Steven Lisberger","Steven Lisberger","Jeff Bridges","United States",17000000,33000525,"Walt Disney Productions",96
"The Secret of NIMH",G,Animation,1982,1982-07-16,7.6,37000,"Don Bluth","Robert C. O'Brien","Elizabeth Hartman","United States",7000000,14665733,Aurora,82
"The King of Comedy",PG,Comedy,1982,1983-02-18,7.8,94000,"Martin Scorsese","Paul D. Zimmerman","Robert De Niro","United States",20000000,2536242,"Embassy International Pictures",109
"Rocky III",PG,Drama,1982,1982-05-28,6.8,179000,"Sylvester Stallone","Sylvester Stallone","Sylvester Stallone","United States",17000000,125052686,"Chartoff-Winkler Productions",99
"The Beastmaster",PG,Action,1982,1982-08-20,6.2,22000,"Don Coscarelli","Don Coscarelli","Marc Singer","United States",8000000,14056528,"Leisure Investment Company",118
Creepshow,R,Comedy,1982,1982-11-12,6.9,44000,"George A. Romero","Stephen King","Hal Holbrook","United States",8000000,21028755,"United Film Distribution Company (UFDC)",120
"The Man from Snowy River",PG,Adventure,1982,1982-11-05,7.3,8200,"George Miller","A.B. 'Banjo' Paterson","Kirk Douglas",Australia,3500000,20659423,"Cambridge Productions",102
"Pink Floyd: The Wall",R,Drama,1982,1982-09-17,8,78000,"Alan Parker","Roger Waters","Bob Geldof","United Kingdom",12000000,22265763,"Goldcrest Films International",95
"Cat People",R,Fantasy,1982,1982-04-02,6.2,20000,"Paul Schrader","DeWitt Bodeen","Nastassja Kinski","United States",18000000,7000000,"RKO Pictures",118
"Fanny and Alexander",R,Drama,1982,1982-12-17,8.1,59000,"Ingmar Bergman","Ingmar Bergman","Bertil Guve",Sweden,6000000,6795771,"Cinematograph AB",188
"Friday the 13th Part III",R,Horror,1982,1982-08-13,5.7,49000,"Steve Miner","Martin Kitrosser","Dana Kimmell","United States",2300000,36690067,"Paramount Pictures",95
Firefox,PG,Action,1982,1982-06-18,6,26000,"Clint Eastwood","Alex Lasker","Clint Eastwood","United States",18000000,46708276,"Major Studio Partners",136
"Halloween III: Season of the Witch",R,Horror,1982,1982-10-22,5,45000,"Tommy Lee Wallace","Tommy Lee Wallace","Tom Atkins","United States",2500000,14400000,"Dino De Laurentiis Company",98
"The Dark Crystal",PG,Adventure,1982,1982-12-17,7.2,63000,"Jim Henson","David Odell","Jim Henson","United Kingdom",15000000,41630431,"Incorporated Television Company (ITC)",93
"The Verdict",R,Drama,1982,1982-12-17,7.7,37000,"Sidney Lumet","Barry Reed","Paul Newman","United States",16000000,53993738,"Twentieth Century Fox",129
Pieces,"Not Rated",Horror,1982,1983-09-23,6.1,9300,"Juan Piquer SimÃ³n","Dick Randall","Christopher George",Spain,300000,2032311,"Almena Films",85
"The World According to Garp",R,Comedy,1982,1982-07-23,7.2,25000,"George Roy Hill","John Irving","Robin Williams","United States",17000000,29712172,"Pan Arts",136
Diner,R,Comedy,1982,1982-05-21,7.1,19000,"Barry Levinson","Barry Levinson","Steve Guttenberg","United States",5000000,14099953,"Metro-Goldwyn-Mayer (MGM)",110
"The Best Little Whorehouse in Texas",R,Comedy,1982,1982-07-23,6,10000,"Colin Higgins","Larry L. King","Burt Reynolds","United States",35000000,69701637,"Universal Pictures",114
"The Year of Living Dangerously",PG,Drama,1982,1983-02-18,7.1,20000,"Peter Weir","David Williamson","Mel Gibson",Australia,13000000,10278575,"Metro-Goldwyn-Mayer (MGM)",115
"The Last Unicorn",G,Animation,1982,1982-11-19,7.4,25000,"Jules Bass","Peter S. Beagle","Jeff Bridges","United Kingdom",3500000,6455330,"Rankin/Bass Productions",92
"The Entity",R,Drama,1982,1983-02-04,6.7,15000,"Sidney J. Furie","Frank De Felitta","Barbara Hershey","United States",9000000,13277558,"American Cinema Productions",125
"Airplane II: the Sequel",PG,Comedy,1982,1982-12-10,6.2,50000,"Ken Finkleman","Ken Finkleman","Robert Hays","United States",15000000,27150534,"Paramount Pictures",85
"The Toy",PG,Comedy,1982,1982-12-10,5.8,11000,"Richard Donner","Francis Veber","Richard Pryor","United States",17000000,47118057,"Columbia Pictures",102
"The House on Sorority Row",R,Horror,1982,1983-07-28,6,7800,"Mark Rosman","Mark Rosman","Kate McNeil","United States",425000,10604986,"VAE Productions",91
"Evil Under the Sun",PG,Crime,1982,1982-03-05,7.1,15000,"Guy Hamilton","Anthony Shaffer","Peter Ustinov","United Kingdom",10000000,6110670,"EMI Films",117
"Death Wish II",R,Action,1982,1982-02-19,6,15000,"Michael Winner","David Engelbach","Charles Bronson","United States",2000000,16100000,"Golan-Globus Productions",89
"Silent Rage",R,Action,1982,1982-04-02,5.5,5300,"Michael Miller","Joseph Fraley","Chuck Norris","United States",4500000,10490791,"Columbia Pictures",103
Megaforce,PG,Action,1982,1982-06-25,3.7,3400,"Hal Needham","Bob Kachler","Barry Bostwick","Hong Kong",20000000,5675599,"Golden Harvest Company",99
"Personal Best",R,Drama,1982,1982-06-26,6.3,2600,"Robert Towne","Robert Towne","Mariel Hemingway","United States",16000000,5672311,"The Geffen Company",128
"Dead Men Don't Wear Plaid",PG,Comedy,1982,1982-05-21,6.9,21000,"Carl Reiner","Carl Reiner","Steve Martin","United States",9000000,18196170,"Aspen Film Society",88
"Amityville II: The Possession",R,Horror,1982,1982-09-24,5.5,11000,"Damiano Damiani","Tommy Lee Wallace","James Olson",Mexico,5000000,12534817,"Dino De Laurentiis Company",104
Missing,PG,Biography,1982,1982-03-12,7.7,19000,Costa-Gavras,Costa-Gavras,"Jack Lemmon","United States",9500000,14000000,"PolyGram Filmed Entertainment",122
"Cannery Row",PG,Comedy,1982,1982-02-12,6.7,3500,"David S. Ward","John Steinbeck","Nick Nolte","United States",11300000,5301539,"Chai Productions",120
Tempest,PG,Comedy,1982,1982-09-24,6.5,2200,"Paul Mazursky","Paul Mazursky","John Cassavetes","United States",13000000,5005245,"Columbia Pictures",140
"Still of the Night",PG,Crime,1982,1982-11-19,6.1,4300,"Robert Benton","Robert Benton","Roy Scheider","United States",10000000,5979947,"United Artists",93
Parasite,R,Horror,1982,1982-03-12,3.9,2300,"Charles Band","Alan J. Adler","Robert Glaudini","United States",800000,2270,"Embassy Pictures",85
"Honkytonk Man",PG,Comedy,1982,1982-12-15,6.6,8200,"Clint Eastwood","Clancy Carlile","Clint Eastwood","United States",2000000,4484991,"The Malpaso Company",122
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",PG,Comedy,1982,1983-04-06,7.2,4200,"Robert Altman","Ed Graczyk",Cher,"United States",850000,840958,"Sandcastle 5 Productions",109
"The Final Option",R,Action,1982,1983-09-16,6.4,3000,"Ian Sharp","George Markstein","Lewis Collins",Switzerland,6000000,2666873,"Richmond Light Horse Productions",125
"Trail of the Pink Panther",PG,Comedy,1982,1982-12-17,5,9800,"Blake Edwards","Blake Edwards","Peter Sellers","United Kingdom",6000000,9056073,"United Artists",96
"The Border",R,Crime,1982,1982-02-12,6.4,6100,"Tony Richardson","Deric Washburn","Jack Nicholson","United States",22000000,6118683,"Efer Productions",108
"Best Friends",PG,Comedy,1982,1982-12-17,5.5,2700,"Norman Jewison","Valerie Curtin","Burt Reynolds","United States",15000000,36821203,"Warner Bros.",116
"Shoot the Moon",R,Drama,1982,1982-02-19,6.9,2500,"Alan Parker","Bo Goldman","Albert Finney","United States",12000000,9217530,"Metro-Goldwyn-Mayer (MGM)",124
"Lookin' to Get Out",R,Comedy,1982,1983-06-30,5.1,684,"Hal Ashby","Al Schwartz","Jon Voight","United States",17000000,946461,"Lorimar Productions",105
Barbarosa,PG,Western,1982,1982-02-19,6.4,1500,"Fred Schepisi","William D. Wittliff","Willie Nelson","United States",11000000,1736123,"Incorporated Television Company (ITC)",90
"The Soldier",R,Action,1982,1982-08-27,5.3,1100,"James Glickenhaus","James Glickenhaus","Ken Wahl","United States",4000000,6328816,"James Glickenhaus",96
"Wrong Is Right",R,Comedy,1982,1982-05-14,5.7,1800,"Richard Brooks","Charles McCarry","Sean Connery","United States",10000000,3583513,"Columbia Pictures",117
"Jekyll and Hyde... Together Again",R,Sci-Fi,1982,1982-10-01,6.2,1100,"Jerry Belson","Monica Mcgowan Johnson","Mark Blankfield","United States",5000000,3792188,"Paramount Pictures",87
